Ticker,Expiration Date,Strike Price,Last Price,Bid,Ask,Volume,Open Interest,Current Price,Predicted_Premium,Error,Calibrated_Predicted_Premium
GOOGL,2025-03-07,155.0,0.15,0.13,0.15,1.0,85,186.31500244140625,0.1478598,-0.0021402031183242742,0.12020391
GOOGL,2025-03-07,150.0,0.09,0.08,0.11,10.0,40,186.31500244140625,0.17910036,0.08910036444664002,0.15144448
GOOGL,2025-03-07,145.0,0.12,0.05,0.08,5018.0,5017,186.31500244140625,0.080716565,-0.03928343474864959,0.053060684
GOOGL,2025-03-07,140.0,0.04,0.04,0.07,5.0,86,186.31500244140625,0.06721202,0.027212022840976714,0.039556142
AMZN,2025-03-07,230.0,4.66,4.55,4.65,125.0,1472,231.9786071777344,4.1750646,-0.48493543624877944,4.1474085
AMZN,2025-03-07,225.0,2.96,2.9,2.95,154.0,577,231.9786071777344,2.58361,-0.3763899421691894,2.5559542
AMZN,2025-03-07,220.0,1.8,1.77,1.81,365.0,2149,231.9786071777344,1.7223076,-0.07769243717193608,1.6946517
AMZN,2025-03-07,215.0,1.11,1.07,1.09,356.0,1438,231.9786071777344,1.1315753,0.021575345993041894,1.1039195
AMZN,2025-03-07,210.0,0.67,0.65,0.67,242.0,905,231.9786071777344,0.6365273,-0.033472700119018595,0.6088714
AMZN,2025-03-07,205.0,0.4,0.39,0.41,85.0,398,231.9786071777344,0.4347839,0.03478390574455259,0.40712804
AMZN,2025-03-07,200.0,0.26,0.25,0.26,289.0,682,231.9786071777344,0.2748978,0.014897813796997061,0.24724193
AMZN,2025-03-07,195.0,0.17,0.16,0.18,2.0,249,231.9786071777344,0.21581478,0.04581478416919707,0.1881589
AMZN,2025-03-07,190.0,0.11,0.11,0.12,12.0,268,231.9786071777344,0.1966574,0.08665740430355072,0.16900152
AMZN,2025-03-07,185.0,0.09,0.08,0.09,14.0,567,231.9786071777344,0.21040054,0.1204005366563797,0.18274465
TSLA,2025-03-07,360.0,18.2,17.15,17.3,402.0,957,360.8399963378906,18.249626,0.04962615966796946,18.22197
TSLA,2025-03-07,355.0,15.6,14.75,14.95,170.0,968,360.8399963378906,15.424223,-0.17577705383300746,15.396567
TSLA,2025-03-07,350.0,13.23,12.6,12.75,1021.0,11186,360.8399963378906,13.069034,-0.1609663772583012,13.041378
TSLA,2025-03-07,345.0,10.8,10.75,10.9,265.0,859,360.8399963378906,11.041318,0.24131793975830007,11.013662
TSLA,2025-03-07,340.0,9.25,9.05,9.2,376.0,12463,360.8399963378906,9.0979185,-0.15208148956298828,9.070263
TSLA,2025-03-07,335.0,8.0,7.55,7.7,217.0,2296,360.8399963378906,7.835438,-0.16456222534179688,7.8077817
TSLA,2025-03-07,330.0,6.5,6.15,6.3,816.0,3715,360.8399963378906,6.350391,-0.14960908889770508,6.322735
TSLA,2025-03-07,325.0,5.6,5.1,5.25,272.0,1851,360.8399963378906,5.5617886,-0.03821144104003871,5.5341325
TSLA,2025-03-07,320.0,4.25,4.25,4.35,1107.0,475,360.8399963378906,4.1968393,-0.053160667419433594,4.1691833
TSLA,2025-03-07,315.0,3.81,3.5,3.6,915.0,387,360.8399963378906,3.5528264,-0.25717359542846685,3.5251706
META,2025-03-07,715.0,18.95,18.6,18.9,396.0,272,715.239013671875,18.929707,-0.020293426513671164,18.90205
META,2025-03-07,710.0,17.1,16.55,16.85,36.0,347,715.239013671875,17.126764,0.02676429748535014,17.099108
META,2025-03-07,705.0,16.0,14.45,14.7,20.0,106,715.239013671875,15.906963,-0.09303665161132812,15.879308
META,2025-03-07,700.0,13.3,12.7,12.95,129.0,576,715.239013671875,13.276582,-0.023418235778809304,13.248926
META,2025-03-07,695.0,11.72,11.1,11.3,58.0,202,715.239013671875,11.623853,-0.09614727020263736,11.596197
META,2025-03-07,690.0,10.3,9.7,9.95,49.0,281,715.239013671875,10.047553,-0.25244693756103587,10.019897
META,2025-03-07,685.0,8.85,8.35,8.6,180.0,208,715.239013671875,8.846942,-0.003058052062987926,8.819286
META,2025-03-07,680.0,7.59,7.3,7.5,51.0,224,715.239013671875,7.58968,-0.00031980514526352977,7.562024
META,2025-03-07,675.0,6.45,6.3,6.5,31.0,184,715.239013671875,6.199084,-0.25091619491577166,6.1714277
META,2025-03-07,670.0,5.6,5.5,5.7,151.0,374,715.239013671875,5.759518,0.15951814651489293,5.731862
NVDA,2025-03-07,134.0,8.84,8.75,8.85,2071.0,527,134.16009521484375,8.836734,-0.003266181945800639,8.809078
NVDA,2025-03-07,133.0,8.35,8.3,8.4,426.0,706,134.16009521484375,8.294616,-0.05538425445556605,8.26696
NVDA,2025-03-07,132.0,7.85,7.85,7.9,349.0,513,134.16009521484375,7.839963,-0.010037040710448863,7.812307
NVDA,2025-03-07,131.0,7.25,7.3,7.35,461.0,746,134.16009521484375,7.0501256,-0.1998744010925293,7.0224695
NVDA,2025-03-07,130.0,6.85,6.75,6.85,759.0,1369,134.16009521484375,6.8580837,0.008083724975586293,6.8304276
NVDA,2025-03-07,129.0,6.45,6.4,6.45,110.0,231,134.16009521484375,6.477077,0.027077007293700994,6.449421
NVDA,2025-03-07,128.0,6.04,5.95,6.0,59.0,662,134.16009521484375,5.7946444,-0.24535564422607425,5.7669883
NVDA,2025-03-07,127.0,5.6,5.5,5.6,69.0,1020,134.16009521484375,5.3230214,-0.2769785881042477,5.2953653
NVDA,2025-03-07,126.0,5.15,5.1,5.2,129.0,1619,134.16009521484375,5.1074357,-0.042564296722412465,5.0797796
NVDA,2025-03-07,125.0,4.83,4.8,4.8,1069.0,2847,134.16009521484375,4.812368,-0.017632083892822337,4.784712
SPY,2025-03-07,603.0,6.91,6.83,6.86,1564.0,1792,603.9299926757812,11.066742,4.156741943359375,11.039086
SPY,2025-03-07,602.0,6.53,6.46,6.49,49.0,1162,603.9299926757812,6.5917206,0.06172058105468725,6.5640645
SPY,2025-03-07,601.0,6.3,6.18,6.21,163.0,2224,603.9299926757812,6.250379,-0.04962091445922834,6.222723
SPY,2025-03-07,600.0,5.88,5.81,5.83,620.0,4521,603.9299926757812,5.8843203,0.004320259094238388,5.856664
SPY,2025-03-07,599.0,5.53,5.51,5.53,25.0,686,603.9299926757812,5.5767817,0.04678174972534155,5.5491257
SPY,2025-03-07,598.0,5.34,5.23,5.26,19.0,464,603.9299926757812,5.518375,0.17837491989135756,5.490719
SPY,2025-03-07,597.0,5.17,5.05,5.07,8.0,654,603.9299926757812,6.338689,1.168688850402832,6.311033
SPY,2025-03-07,596.0,4.87,4.74,4.76,9.0,820,603.9299926757812,4.7809825,-0.08901750564575206,4.7533264
SPY,2025-03-07,595.0,4.62,4.51,4.53,381.0,3954,603.9299926757812,4.592032,-0.027968044281005966,4.564376
SPY,2025-03-07,594.0,4.45,4.34,4.37,85.0,313,603.9299926757812,4.551661,0.10166101455688459,4.524005
V,2025-03-07,345.0,4.0,3.75,4.05,26.0,44,349.5050048828125,3.981819,-0.01818108558654785,3.954163
V,2025-03-07,340.0,2.5,2.36,2.64,142.0,27,349.5050048828125,2.7057312,0.20573115348815918,2.6780753
V,2025-03-07,335.0,1.67,1.51,1.71,3.0,53,349.5050048828125,1.8011379,0.131137924194336,1.7734821
V,2025-03-07,330.0,0.99,1.02,1.14,4.0,1918,349.5050048828125,2.8684165,1.8784165477752686,2.8407607
V,2025-03-07,325.0,0.75,0.7,0.8,1.0,79,349.5050048828125,0.80207497,0.052074968814849854,0.77441907
V,2025-03-07,320.0,0.55,0.5,0.58,2.0,25,349.5050048828125,0.5849874,0.03498740196228023,0.5573315
V,2025-03-07,315.0,0.42,0.31,0.52,5.0,47,349.5050048828125,1.2604309,0.840430932044983,1.2327751
V,2025-03-07,310.0,0.43,0.24,0.45,5.0,717,349.5050048828125,0.44964254,0.019642539024353034,0.42198667
V,2025-03-07,305.0,0.25,0.2,0.38,3.0,70,349.5050048828125,0.22194016,-0.028059840202331543,0.19428428
V,2025-03-07,300.0,0.24,0.14,0.31,5.0,17,349.5050048828125,0.23724574,-0.0027542614936828524,0.20958985
AMD,2025-03-07,110.0,3.8,3.75,3.85,309.0,926,110.95999908447266,3.7816017,-0.018398332595825018,3.7539458
AMD,2025-03-07,109.0,3.35,3.3,3.4,181.0,176,110.95999908447266,3.448822,0.09882202148437491,3.4211662
AMD,2025-03-07,108.0,2.92,2.92,2.97,343.0,181,110.95999908447266,2.914849,-0.005150957107543874,2.8871932
AMD,2025-03-07,107.0,2.57,2.57,2.61,417.0,286,110.95999908447266,2.4124959,-0.1575041484832762,2.38484
AMD,2025-03-07,106.0,2.24,2.23,2.27,77.0,110,110.95999908447266,2.2442198,0.004219779968261506,2.216564
AMD,2025-03-07,105.0,1.94,1.92,1.96,174.0,897,110.95999908447266,1.9997098,0.05970984458923345,1.972054
AMD,2025-03-07,104.0,1.64,1.64,1.68,40.0,544,110.95999908447266,2.0169952,0.3769951915740968,1.9893394
AMD,2025-03-07,103.0,1.43,1.41,1.45,122.0,492,110.95999908447266,1.4776925,0.04769248485565192,1.4500366
AMD,2025-03-07,102.0,1.22,1.21,1.24,24.0,136,110.95999908447266,1.2488741,0.028874068260192898,1.2212182
AMD,2025-03-07,101.0,1.05,1.03,1.06,38.0,51,110.95999908447266,0.9595146,-0.09048538208007817,0.9318587
NVDA,2025-03-07,134.0,8.84,8.75,8.85,2071.0,527,134.16009521484375,8.836734,-0.003266181945800639,8.809078
NVDA,2025-03-07,133.0,8.35,8.3,8.4,426.0,706,134.16009521484375,8.294616,-0.05538425445556605,8.26696
NVDA,2025-03-07,132.0,7.85,7.85,7.9,349.0,513,134.16009521484375,7.839963,-0.010037040710448863,7.812307
NVDA,2025-03-07,131.0,7.25,7.3,7.35,461.0,746,134.16009521484375,7.0501256,-0.1998744010925293,7.0224695
NVDA,2025-03-07,130.0,6.85,6.75,6.85,759.0,1369,134.16009521484375,6.8580837,0.008083724975586293,6.8304276
NVDA,2025-03-07,129.0,6.45,6.4,6.45,110.0,231,134.16009521484375,6.477077,0.027077007293700994,6.449421
NVDA,2025-03-07,128.0,6.04,5.95,6.0,59.0,662,134.16009521484375,5.7946444,-0.24535564422607425,5.7669883
NVDA,2025-03-07,127.0,5.6,5.5,5.6,69.0,1020,134.16009521484375,5.3230214,-0.2769785881042477,5.2953653
NVDA,2025-03-07,126.0,5.15,5.1,5.2,129.0,1619,134.16009521484375,5.1074357,-0.042564296722412465,5.0797796
NVDA,2025-03-07,125.0,4.83,4.8,4.8,1069.0,2847,134.16009521484375,4.812368,-0.017632083892822337,4.784712
INTC,2025-03-07,19.5,0.85,0.83,0.85,21.0,457,19.854999542236328,0.80691665,-0.043083345890045144,0.77926075
INTC,2025-03-07,19.0,0.63,0.63,0.64,56.0,842,19.854999542236328,0.58058906,-0.049410943984985356,0.55293316
INTC,2025-03-07,18.5,0.45,0.44,0.45,51.0,1344,19.854999542236328,0.5563002,0.10630022287368773,0.5286443
INTC,2025-03-07,18.0,0.33,0.31,0.32,41.0,1764,19.854999542236328,0.18351316,-0.14648683547973634,0.15585728
INTC,2025-03-07,17.5,0.23,0.21,0.24,51.0,1417,19.854999542236328,0.1808029,-0.04919710338115693,0.15314701
INTC,2025-03-07,17.0,0.15,0.13,0.16,50.0,892,19.854999542236328,0.103072286,-0.04692771434783935,0.0754164
INTC,2025-03-07,16.5,0.15,0.08,0.1,6.0,261,19.854999542236328,0.09787564,-0.052124360203742975,0.070219755
INTC,2025-03-07,16.0,0.05,0.05,0.07,4.0,483,19.854999542236328,0.075725436,0.02572543621063232,0.048069555
INTC,2025-03-07,15.5,0.07,0.0,0.09,11.0,337,19.854999542236328,0.06729903,-0.002700969278812415,0.03964315
INTC,2025-03-07,15.0,0.03,0.01,0.05,2.0,203,19.854999542236328,0.061569043,0.03156904250383377,0.03391316
CSCO,2025-03-07,62.0,1.44,1.4,1.45,7.0,82,62.67499923706055,1.3698657,-0.0701343441009521,1.3422098
CSCO,2025-03-07,61.0,1.08,1.03,1.11,2.0,47,62.67499923706055,1.1340444,0.0540444087982177,1.1063886
CSCO,2025-03-07,60.0,0.83,0.74,0.78,3.0,60,62.67499923706055,0.77891994,-0.05108006477355953,0.75126404
CSCO,2025-03-07,59.0,0.59,0.54,0.56,3.0,46,62.67499923706055,0.57023436,-0.019765641689300506,0.54257846
CSCO,2025-03-07,58.0,0.45,0.39,0.42,4.0,73,62.67499923706055,0.44011515,-0.009884846210479747,0.41245928
CSCO,2025-03-07,57.0,0.31,0.28,0.31,4.0,12,62.67499923706055,0.30899,-0.001009998321533201,0.28133413
CSCO,2025-03-07,56.0,0.23,0.2,0.22,1.0,3,62.67499923706055,0.23957044,0.009570438861846914,0.21191455
CSCO,2025-03-07,55.0,0.18,0.15,0.18,1.0,66,62.67499923706055,0.20435296,0.02435295999050141,0.17669708
CSCO,2025-03-07,54.0,0.31,0.11,0.15,1.0,1,62.67499923706055,0.25508985,-0.05491015076637268,0.22743396
CSCO,2025-03-07,53.0,0.32,0.04,0.37,,2,62.67499923706055,0.29134452,-0.0286554765701294,0.26368865
WMT,2025-03-07,101.0,2.58,2.58,2.63,3.0,16,101.94989776611328,2.5640018,-0.01599820137023933,2.536346
WMT,2025-03-07,100.0,2.22,2.19,2.24,107.0,283,101.94989776611328,2.2698333,0.049833326339721484,2.2421775
WMT,2025-03-07,99.0,1.95,1.83,1.88,14.0,65,101.94989776611328,1.9528937,0.002893733978271529,1.9252379
WMT,2025-03-07,98.0,1.57,1.52,1.57,10.0,65,101.94989776611328,1.5369822,-0.033017821311950746,1.5093263
WMT,2025-03-07,97.0,1.34,1.25,1.3,4.0,51,101.94989776611328,1.3547487,0.014748725891113201,1.3270929
WMT,2025-03-07,96.0,1.08,1.03,1.07,11.0,113,101.94989776611328,1.0643705,-0.015629487037658762,1.0367147
WMT,2025-03-07,95.0,0.9,0.83,0.89,2.0,89,101.94989776611328,1.2756772,0.37567720413208006,1.2480214
WMT,2025-03-07,94.0,0.7,0.68,0.73,1.0,115,101.94989776611328,0.7443472,0.04434721469879155,0.7166913
WMT,2025-03-07,93.0,0.62,0.55,0.6,5653.0,251,101.94989776611328,0.55877674,-0.061223263740539546,0.53112084
WMT,2025-03-07,92.0,0.47,0.45,0.49,10.0,2426,101.94989776611328,1.0490828,0.5790827560424805,1.0214269
DIS,2025-03-07,108.0,1.76,1.73,1.8,1.0,36,108.83499908447266,1.7752993,0.015299310684204093,1.7476435
DIS,2025-03-07,107.0,1.38,1.36,1.42,2.0,236,108.83499908447266,1.8199619,0.43996190547943126,1.7923061
DIS,2025-03-07,106.0,1.11,1.08,1.13,34.0,1092,108.83499908447266,1.2613722,0.15137220859527578,1.2337164
DIS,2025-03-07,105.0,0.86,0.84,0.9,3.0,223,108.83499908447266,0.83022714,-0.02977286338806151,0.80257124
DIS,2025-03-07,104.0,0.68,0.66,0.71,1.0,250,108.83499908447266,0.72542995,0.045429952144622754,0.69777405
DIS,2025-03-07,103.0,0.48,0.5,0.56,1.0,9,108.83499908447266,0.51567805,0.035678048133850115,0.48802218
DIS,2025-03-07,102.0,0.41,0.3,0.44,2.0,7,108.83499908447266,0.476891,0.06689101099967959,0.44923514
DIS,2025-03-07,101.0,0.37,0.31,0.36,30.0,64,108.83499908447266,0.38487762,0.014877622127532963,0.35722175
DIS,2025-03-07,100.0,0.26,0.25,0.28,24.0,91,108.83499908447266,0.30320296,0.043202956914901725,0.2755471
DIS,2025-03-07,99.0,0.29,0.19,0.23,,2,108.83499908447266,0.30154535,0.01154535174369814,0.27388948
MCD,2025-03-07,305.0,5.15,4.8,5.35,48.0,31,306.0450134277344,5.1411595,-0.008840465545654652,5.1135035
MCD,2025-03-07,300.0,3.3,3.0,3.2,101.0,6,306.0450134277344,3.3465683,0.04656834602355975,3.3189125
MCD,2025-03-07,295.0,2.05,1.75,2.0,86.0,10,306.0450134277344,2.0887473,0.03874726295471209,2.0610914
MCD,2025-03-07,290.0,1.13,0.0,1.33,2.0,6,306.0450134277344,1.1873171,0.05731713294982921,1.1596613
MCD,2025-03-07,285.0,0.59,0.67,0.76,7.0,18,306.0450134277344,0.59250605,0.0025060510635376287,0.56485015
MCD,2025-03-07,280.0,0.47,0.38,0.47,21.0,89,306.0450134277344,0.49789375,0.027893750667572048,0.47023788
MCD,2025-03-07,275.0,0.29,0.11,0.75,14.0,130,306.0450134277344,0.3575169,0.06751691460609438,0.32986104
MCD,2025-03-07,270.0,0.31,0.1,0.34,17.0,62,306.0450134277344,0.30125636,-0.008743641376495359,0.2736005
MCD,2025-03-07,265.0,0.15,0.04,0.3,1.0,13,306.0450134277344,0.14570521,-0.0042947918176650945,0.11804932
MCD,2025-03-07,260.0,0.42,0.01,0.6,6.0,20,306.0450134277344,0.43953246,0.01953245878219606,0.4118766
BA,2025-03-07,180.0,4.65,5.0,5.2,1.0,244,180.2700042724609,4.649035,-0.0009650230407718396,4.621379
BA,2025-03-07,175.0,3.04,3.05,3.2,12.0,185,180.2700042724609,2.964331,-0.0756690883636475,2.936675
BA,2025-03-07,170.0,1.8,1.73,1.79,14.0,275,180.2700042724609,1.766037,-0.033963012695312544,1.7383811
BA,2025-03-07,165.0,1.03,0.95,1.0,67.0,278,180.2700042724609,0.98360145,-0.046398549079895046,0.95594555
BA,2025-03-07,160.0,0.55,0.52,0.57,4.0,3203,180.2700042724609,0.5080761,-0.04192392826080327,0.4804202
BA,2025-03-07,155.0,0.37,0.08,0.51,5.0,72,180.2700042724609,0.4038499,0.03384989976882935,0.37619403
BA,2025-03-07,150.0,0.24,0.02,0.22,6.0,39,180.2700042724609,0.30327886,0.0632788634300232,0.275623
BA,2025-03-07,145.0,0.22,0.04,0.34,100.0,118,180.2700042724609,0.23102088,0.011020882725715636,0.203365
BA,2025-03-07,140.0,0.32,0.02,0.3,1.0,6,180.2700042724609,0.23910308,-0.08089692115783692,0.2114472
BA,2025-03-07,130.0,0.04,0.01,0.26,1.0,1,180.2700042724609,0.1421686,0.10216859638690948,0.11451271
PYPL,2025-03-07,78.0,2.19,2.36,2.42,28.0,366,78.44000244140625,2.1735272,-0.01647275924682612,2.1458714
PYPL,2025-03-07,77.0,1.99,1.9,1.97,8.0,381,78.44000244140625,1.963419,-0.02658103942871093,1.9357631
PYPL,2025-03-07,76.0,1.46,1.56,1.6,5.0,51,78.44000244140625,1.4972969,0.03729692935943607,1.4696411
PYPL,2025-03-07,75.0,1.27,1.23,1.29,17.0,795,78.44000244140625,1.1909199,-0.0790801239013672,1.163264
PYPL,2025-03-07,74.0,0.93,0.96,1.04,85.0,39,78.44000244140625,1.1378576,0.20785755634307856,1.1102017
PYPL,2025-03-07,73.0,0.75,0.74,0.82,22.0,16,78.44000244140625,0.7601021,0.01010209321975708,0.7324462
PYPL,2025-03-07,72.0,0.62,0.57,0.64,1.0,50,78.44000244140625,0.59115034,-0.028849656581878658,0.56349444
PYPL,2025-03-07,71.0,0.41,0.45,0.49,3.0,53,78.44000244140625,0.42897266,0.018972661495208765,0.4013168
PYPL,2025-03-07,70.0,0.32,0.34,0.39,4.0,379,78.44000244140625,0.33012772,0.010127716064453118,0.30247185
PYPL,2025-03-07,69.0,0.25,0.25,0.29,100.0,6,78.44000244140625,0.2942819,0.04428189992904663,0.26662603
SNAP,2025-03-07,10.5,0.41,0.39,0.42,319.0,182,10.744999885559082,0.4013584,-0.008641604185104346,0.37370253
SNAP,2025-03-07,10.0,0.22,0.21,0.24,111.0,881,10.744999885559082,0.22947194,0.00947193682193756,0.20181605
SNAP,2025-03-07,9.5,0.1,0.1,0.12,9.0,779,10.744999885559082,0.117148325,0.01714832484722137,0.08949244
SNAP,2025-03-07,9.0,0.06,0.05,0.07,10.0,190,10.744999885559082,0.073679335,0.013679335415363314,0.046023455
SNAP,2025-03-07,8.5,0.05,0.01,0.06,2.0,59,10.744999885559082,0.08789109,0.037891086935997007,0.060235206
SNAP,2025-03-07,8.0,0.03,0.03,0.05,7.0,280,10.744999885559082,0.058490716,0.02849071592092514,0.030834835
SNAP,2025-03-07,7.5,0.09,0.0,0.05,,3,10.744999885559082,0.06298517,-0.02701483309268951,0.035329286
SNAP,2025-03-07,6.5,0.21,0.0,0.75,,1,10.744999885559082,0.10903511,-0.10096488803625106,0.081379235
NKE,2025-03-07,70.0,1.93,1.86,1.98,80.0,396,70.25499725341797,1.9256018,-0.004398159980773864,1.897946
NKE,2025-03-07,69.0,1.47,1.46,1.51,20.0,212,70.25499725341797,1.4970789,0.027078895568847683,1.469423
NKE,2025-03-07,68.0,1.2,1.1,1.16,2.0,67,70.25499725341797,1.2067622,0.006762194633483931,1.1791064
NKE,2025-03-07,67.0,0.86,0.81,0.99,30.0,289,70.25499725341797,0.92094225,0.060942246913909925,0.89328635
NKE,2025-03-07,66.0,0.59,0.6,0.66,10.0,141,70.25499725341797,0.54678464,-0.04321536064147946,0.51912874
NKE,2025-03-07,65.0,0.47,0.44,0.5,24.0,163,70.25499725341797,0.50188154,0.03188153982162478,0.47422567
NKE,2025-03-07,64.0,0.47,0.32,0.37,1.0,18,70.25499725341797,0.4280921,-0.041907907724380467,0.40043622
NKE,2025-03-07,63.0,0.5,0.24,0.32,64.0,52,70.25499725341797,0.37843436,-0.12156563997268677,0.3507785
NKE,2025-03-07,62.0,0.23,0.0,0.23,12.0,58,70.25499725341797,0.23957445,0.009574447274208059,0.21191856
NKE,2025-03-07,60.0,0.12,0.11,0.16,21.0,9,70.25499725341797,0.16729875,0.04729874908924103,0.13964286
XOM,2025-03-07,110.0,2.6,2.39,2.42,1.0,12,110.72000122070312,2.5953999,-0.004600143432617276,2.567744
XOM,2025-03-07,109.0,2.6,1.91,1.99,1.0,33,110.72000122070312,2.6011608,0.0011607646942137784,2.573505
XOM,2025-03-07,108.0,1.58,1.56,1.6,4.0,22,110.72000122070312,1.6689763,0.08897630691528313,1.6413205
XOM,2025-03-07,107.0,1.29,1.22,1.29,8.0,117,110.72000122070312,1.2890435,-0.0009564542770386097,1.2613877
XOM,2025-03-07,106.0,1.01,0.96,1.0,3.0,46,110.72000122070312,1.0362344,0.026234378814697257,1.0085785
XOM,2025-03-07,105.0,0.85,0.75,0.78,9.0,381,110.72000122070312,0.8949339,0.044933879375457786,0.867278
XOM,2025-03-07,104.0,0.62,0.59,0.63,3.0,225,110.72000122070312,0.6530025,0.03300250053405762,0.6253466
XOM,2025-03-07,103.0,0.5,0.46,0.5,3.0,72,110.72000122070312,0.5034968,0.003496825695037842,0.47584096
XOM,2025-03-07,102.0,0.55,0.35,0.39,12.0,105,110.72000122070312,0.5932094,0.04320938587188716,0.5655535
XOM,2025-03-07,101.0,0.32,0.27,0.31,1.0,150,110.72000122070312,0.32872,0.00872000336647033,0.30106413
CVX,2025-03-07,155.0,4.0,3.6,3.7,1.0,220,155.1699981689453,4.038833,0.0388331413269043,4.011177
CVX,2025-03-07,152.5,2.4,2.4,2.5,23.0,35,155.1699981689453,2.4184437,0.0184436798095704,2.3907878
CVX,2025-03-07,150.0,1.71,1.56,1.64,1.0,44,155.1699981689453,1.5333833,-0.17661674976348873,1.5057274
CVX,2025-03-07,149.0,1.34,1.32,1.37,4.0,98,155.1699981689453,1.2566175,-0.08338245391845711,1.2289617
CVX,2025-03-07,148.0,1.1,1.06,1.13,7.0,65,155.1699981689453,1.2206209,0.12062087059020987,1.192965
CVX,2025-03-07,147.0,0.95,0.9,0.96,3.0,11,155.1699981689453,0.8896817,-0.06031830310821529,0.8620258
CVX,2025-03-07,146.0,1.22,0.75,0.81,1.0,41,155.1699981689453,1.0847688,-0.13523122787475583,1.0571129
CVX,2025-03-07,145.0,0.69,0.62,0.68,1.0,99,155.1699981689453,0.99880993,0.3088099336624146,0.97115403
CVX,2025-03-07,144.0,0.59,0.52,0.56,2.0,49,155.1699981689453,0.6471419,0.057141873836517365,0.619486
CVX,2025-03-07,143.0,0.73,0.43,0.47,1.0,13,155.1699981689453,0.7212885,-0.008711497783660871,0.6936326
JNJ,2025-03-07,152.5,2.54,2.21,2.28,5.0,7,153.5500030517578,2.7506979,0.21069785118103024,2.723042
JNJ,2025-03-07,150.0,1.33,1.29,1.34,2.0,49,153.5500030517578,1.4583989,0.12839893817901604,1.4307431
JNJ,2025-03-07,149.0,1.1,1.02,1.08,15.0,17,153.5500030517578,1.1754649,0.07546486854553214,1.147809
JNJ,2025-03-07,148.0,0.8,0.81,0.86,8.0,22,153.5500030517578,0.8167694,0.01676942110061641,0.7891135
