Ticker,Expiration Date,Strike Price,Last Price,Bid,Ask,Volume,Open Interest,Current Price
GOOGL,2025-03-07,165.0,0.34,0.33,0.36,50.0,362,186.31500244140625
GOOGL,2025-03-07,160.0,0.21,0.2,0.22,17.0,290,186.31500244140625
GOOGL,2025-03-07,155.0,0.15,0.13,0.15,1.0,85,186.31500244140625
GOOGL,2025-03-07,150.0,0.09,0.08,0.11,10.0,40,186.31500244140625
GOOGL,2025-03-07,145.0,0.12,0.05,0.08,5018.0,5017,186.31500244140625
GOOGL,2025-03-07,140.0,0.04,0.04,0.07,5.0,86,186.31500244140625
AMZN,2025-03-07,230.0,4.66,4.55,4.65,125.0,1472,231.97860717773438
AMZN,2025-03-07,225.0,2.96,2.9,2.95,154.0,577,231.97860717773438
AMZN,2025-03-07,220.0,1.8,1.77,1.81,365.0,2149,231.97860717773438
AMZN,2025-03-07,215.0,1.11,1.07,1.09,356.0,1438,231.97860717773438
AMZN,2025-03-07,210.0,0.67,0.65,0.67,242.0,905,231.97860717773438
AMZN,2025-03-07,205.0,0.4,0.39,0.41,85.0,398,231.97860717773438
AMZN,2025-03-07,200.0,0.26,0.25,0.26,289.0,682,231.97860717773438
AMZN,2025-03-07,195.0,0.17,0.16,0.18,2.0,249,231.97860717773438
AMZN,2025-03-07,190.0,0.11,0.11,0.12,12.0,268,231.97860717773438
AMZN,2025-03-07,185.0,0.09,0.08,0.09,14.0,567,231.97860717773438
TSLA,2025-03-07,360.0,18.2,17.15,17.3,402.0,957,360.8399963378906
TSLA,2025-03-07,355.0,15.6,14.75,14.95,170.0,968,360.8399963378906
TSLA,2025-03-07,350.0,13.23,12.6,12.75,1021.0,11186,360.8399963378906
TSLA,2025-03-07,345.0,10.8,10.75,10.9,265.0,859,360.8399963378906
TSLA,2025-03-07,340.0,9.25,9.05,9.2,376.0,12463,360.8399963378906
TSLA,2025-03-07,335.0,8.0,7.55,7.7,217.0,2296,360.8399963378906
TSLA,2025-03-07,330.0,6.5,6.15,6.3,816.0,3715,360.8399963378906
TSLA,2025-03-07,325.0,5.6,5.1,5.25,272.0,1851,360.8399963378906
TSLA,2025-03-07,320.0,4.25,4.25,4.35,1107.0,475,360.8399963378906
TSLA,2025-03-07,315.0,3.81,3.5,3.6,915.0,387,360.8399963378906
META,2025-03-07,715.0,18.95,18.6,18.9,396.0,272,715.239013671875
META,2025-03-07,710.0,17.1,16.55,16.85,36.0,347,715.239013671875
META,2025-03-07,705.0,16.0,14.45,14.7,20.0,106,715.239013671875
META,2025-03-07,700.0,13.3,12.7,12.95,129.0,576,715.239013671875
META,2025-03-07,695.0,11.72,11.1,11.3,58.0,202,715.239013671875
META,2025-03-07,690.0,10.3,9.7,9.95,49.0,281,715.239013671875
META,2025-03-07,685.0,8.85,8.35,8.6,180.0,208,715.239013671875
META,2025-03-07,680.0,7.59,7.3,7.5,51.0,224,715.239013671875
META,2025-03-07,675.0,6.45,6.3,6.5,31.0,184,715.239013671875
META,2025-03-07,670.0,5.6,5.5,5.7,151.0,374,715.239013671875
NVDA,2025-03-07,134.0,8.84,8.75,8.85,2071.0,527,134.16009521484375
NVDA,2025-03-07,133.0,8.35,8.3,8.4,426.0,706,134.16009521484375
NVDA,2025-03-07,132.0,7.85,7.85,7.9,349.0,513,134.16009521484375
NVDA,2025-03-07,131.0,7.25,7.3,7.35,461.0,746,134.16009521484375
NVDA,2025-03-07,130.0,6.85,6.75,6.85,759.0,1369,134.16009521484375
NVDA,2025-03-07,129.0,6.45,6.4,6.45,110.0,231,134.16009521484375
NVDA,2025-03-07,128.0,6.04,5.95,6.0,59.0,662,134.16009521484375
NVDA,2025-03-07,127.0,5.6,5.5,5.6,69.0,1020,134.16009521484375
NVDA,2025-03-07,126.0,5.15,5.1,5.2,129.0,1619,134.16009521484375
NVDA,2025-03-07,125.0,4.83,4.8,4.8,1069.0,2847,134.16009521484375
SPY,2025-03-07,603.0,6.91,6.83,6.86,1564.0,1792,603.9299926757812
SPY,2025-03-07,602.0,6.53,6.46,6.49,49.0,1162,603.9299926757812
SPY,2025-03-07,601.0,6.3,6.18,6.21,163.0,2224,603.9299926757812
SPY,2025-03-07,600.0,5.88,5.81,5.83,620.0,4521,603.9299926757812
SPY,2025-03-07,599.0,5.53,5.51,5.53,25.0,686,603.9299926757812
SPY,2025-03-07,598.0,5.34,5.23,5.26,19.0,464,603.9299926757812
SPY,2025-03-07,597.0,5.17,5.05,5.07,8.0,654,603.9299926757812
SPY,2025-03-07,596.0,4.87,4.74,4.76,9.0,820,603.9299926757812
SPY,2025-03-07,595.0,4.62,4.51,4.53,381.0,3954,603.9299926757812
SPY,2025-03-07,594.0,4.45,4.34,4.37,85.0,313,603.9299926757812
V,2025-03-07,345.0,4.0,3.75,4.05,26.0,44,349.5050048828125
V,2025-03-07,340.0,2.5,2.36,2.64,142.0,27,349.5050048828125
V,2025-03-07,335.0,1.67,1.51,1.71,3.0,53,349.5050048828125
V,2025-03-07,330.0,0.99,1.02,1.14,4.0,1918,349.5050048828125
V,2025-03-07,325.0,0.75,0.7,0.8,1.0,79,349.5050048828125
V,2025-03-07,320.0,0.55,0.5,0.58,2.0,25,349.5050048828125
V,2025-03-07,315.0,0.42,0.31,0.52,5.0,47,349.5050048828125
V,2025-03-07,310.0,0.43,0.24,0.45,5.0,717,349.5050048828125
V,2025-03-07,305.0,0.25,0.2,0.38,3.0,70,349.5050048828125
V,2025-03-07,300.0,0.24,0.14,0.31,5.0,17,349.5050048828125
AMD,2025-03-07,110.0,3.8,3.75,3.85,309.0,926,110.95999908447266
AMD,2025-03-07,109.0,3.35,3.3,3.4,181.0,176,110.95999908447266
AMD,2025-03-07,108.0,2.92,2.92,2.97,343.0,181,110.95999908447266
AMD,2025-03-07,107.0,2.57,2.57,2.61,417.0,286,110.95999908447266
AMD,2025-03-07,106.0,2.24,2.23,2.27,77.0,110,110.95999908447266
AMD,2025-03-07,105.0,1.94,1.92,1.96,174.0,897,110.95999908447266
AMD,2025-03-07,104.0,1.64,1.64,1.68,40.0,544,110.95999908447266
AMD,2025-03-07,103.0,1.43,1.41,1.45,122.0,492,110.95999908447266
AMD,2025-03-07,102.0,1.22,1.21,1.24,24.0,136,110.95999908447266
AMD,2025-03-07,101.0,1.05,1.03,1.06,38.0,51,110.95999908447266
NVDA,2025-03-07,134.0,8.84,8.75,8.85,2071.0,527,134.16009521484375
NVDA,2025-03-07,133.0,8.35,8.3,8.4,426.0,706,134.16009521484375
NVDA,2025-03-07,132.0,7.85,7.85,7.9,349.0,513,134.16009521484375
NVDA,2025-03-07,131.0,7.25,7.3,7.35,461.0,746,134.16009521484375
NVDA,2025-03-07,130.0,6.85,6.75,6.85,759.0,1369,134.16009521484375
NVDA,2025-03-07,129.0,6.45,6.4,6.45,110.0,231,134.16009521484375
NVDA,2025-03-07,128.0,6.04,5.95,6.0,59.0,662,134.16009521484375
NVDA,2025-03-07,127.0,5.6,5.5,5.6,69.0,1020,134.16009521484375
NVDA,2025-03-07,126.0,5.15,5.1,5.2,129.0,1619,134.16009521484375
NVDA,2025-03-07,125.0,4.83,4.8,4.8,1069.0,2847,134.16009521484375
INTC,2025-03-07,19.5,0.85,0.83,0.85,21.0,457,19.854999542236328
INTC,2025-03-07,19.0,0.63,0.63,0.64,56.0,842,19.854999542236328
INTC,2025-03-07,18.5,0.45,0.44,0.45,51.0,1344,19.854999542236328
INTC,2025-03-07,18.0,0.33,0.31,0.32,41.0,1764,19.854999542236328
INTC,2025-03-07,17.5,0.23,0.21,0.24,51.0,1417,19.854999542236328
INTC,2025-03-07,17.0,0.15,0.13,0.16,50.0,892,19.854999542236328
INTC,2025-03-07,16.5,0.15,0.08,0.1,6.0,261,19.854999542236328
INTC,2025-03-07,16.0,0.05,0.05,0.07,4.0,483,19.854999542236328
INTC,2025-03-07,15.5,0.07,0.0,0.09,11.0,337,19.854999542236328
INTC,2025-03-07,15.0,0.03,0.01,0.05,2.0,203,19.854999542236328
CSCO,2025-03-07,62.0,1.44,1.4,1.45,7.0,82,62.67499923706055
CSCO,2025-03-07,61.0,1.08,1.03,1.11,2.0,47,62.67499923706055
CSCO,2025-03-07,60.0,0.83,0.74,0.78,3.0,60,62.67499923706055
CSCO,2025-03-07,59.0,0.59,0.54,0.56,3.0,46,62.67499923706055
CSCO,2025-03-07,58.0,0.45,0.39,0.42,4.0,73,62.67499923706055
CSCO,2025-03-07,57.0,0.31,0.28,0.31,4.0,12,62.67499923706055
CSCO,2025-03-07,56.0,0.23,0.2,0.22,1.0,3,62.67499923706055
CSCO,2025-03-07,55.0,0.18,0.15,0.18,1.0,66,62.67499923706055
CSCO,2025-03-07,54.0,0.31,0.11,0.15,1.0,1,62.67499923706055
CSCO,2025-03-07,53.0,0.32,0.04,0.37,,2,62.67499923706055
WMT,2025-03-07,101.0,2.58,2.58,2.63,3.0,16,101.94989776611328
WMT,2025-03-07,100.0,2.22,2.19,2.24,107.0,283,101.94989776611328
WMT,2025-03-07,99.0,1.95,1.83,1.88,14.0,65,101.94989776611328
WMT,2025-03-07,98.0,1.57,1.52,1.57,10.0,65,101.94989776611328
WMT,2025-03-07,97.0,1.34,1.25,1.3,4.0,51,101.94989776611328
WMT,2025-03-07,96.0,1.08,1.03,1.07,11.0,113,101.94989776611328
WMT,2025-03-07,95.0,0.9,0.83,0.89,2.0,89,101.94989776611328
WMT,2025-03-07,94.0,0.7,0.68,0.73,1.0,115,101.94989776611328
WMT,2025-03-07,93.0,0.62,0.55,0.6,5653.0,251,101.94989776611328
WMT,2025-03-07,92.0,0.47,0.45,0.49,10.0,2426,101.94989776611328
DIS,2025-03-07,108.0,1.76,1.73,1.8,1.0,36,108.83499908447266
DIS,2025-03-07,107.0,1.38,1.36,1.42,2.0,236,108.83499908447266
DIS,2025-03-07,106.0,1.11,1.08,1.13,34.0,1092,108.83499908447266
DIS,2025-03-07,105.0,0.86,0.84,0.9,3.0,223,108.83499908447266
DIS,2025-03-07,104.0,0.68,0.66,0.71,1.0,250,108.83499908447266
DIS,2025-03-07,103.0,0.48,0.5,0.56,1.0,9,108.83499908447266
DIS,2025-03-07,102.0,0.41,0.3,0.44,2.0,7,108.83499908447266
DIS,2025-03-07,101.0,0.37,0.31,0.36,30.0,64,108.83499908447266
DIS,2025-03-07,100.0,0.26,0.25,0.28,24.0,91,108.83499908447266
DIS,2025-03-07,99.0,0.29,0.19,0.23,,2,108.83499908447266
MCD,2025-03-07,305.0,5.15,4.8,5.35,48.0,31,306.0450134277344
MCD,2025-03-07,300.0,3.3,3.0,3.2,101.0,6,306.0450134277344
MCD,2025-03-07,295.0,2.05,1.75,2.0,86.0,10,306.0450134277344
MCD,2025-03-07,290.0,1.13,0.0,1.33,2.0,6,306.0450134277344
MCD,2025-03-07,285.0,0.59,0.67,0.76,7.0,18,306.0450134277344
MCD,2025-03-07,280.0,0.47,0.38,0.47,21.0,89,306.0450134277344
MCD,2025-03-07,275.0,0.29,0.11,0.75,14.0,130,306.0450134277344
MCD,2025-03-07,270.0,0.31,0.1,0.34,17.0,62,306.0450134277344
MCD,2025-03-07,265.0,0.15,0.04,0.3,1.0,13,306.0450134277344
MCD,2025-03-07,260.0,0.42,0.01,0.6,6.0,20,306.0450134277344
BA,2025-03-07,180.0,4.65,5.0,5.2,1.0,244,180.27000427246094
BA,2025-03-07,175.0,3.04,3.05,3.2,12.0,185,180.27000427246094
BA,2025-03-07,170.0,1.8,1.73,1.79,14.0,275,180.27000427246094
BA,2025-03-07,165.0,1.03,0.95,1.0,67.0,278,180.27000427246094
BA,2025-03-07,160.0,0.55,0.52,0.57,4.0,3203,180.27000427246094
BA,2025-03-07,155.0,0.37,0.08,0.51,5.0,72,180.27000427246094
BA,2025-03-07,150.0,0.24,0.02,0.22,6.0,39,180.27000427246094
BA,2025-03-07,145.0,0.22,0.04,0.34,100.0,118,180.27000427246094
BA,2025-03-07,140.0,0.32,0.02,0.3,1.0,6,180.27000427246094
BA,2025-03-07,130.0,0.04,0.01,0.26,1.0,1,180.27000427246094
PYPL,2025-03-07,78.0,2.19,2.36,2.42,28.0,366,78.44000244140625
PYPL,2025-03-07,77.0,1.99,1.9,1.97,8.0,381,78.44000244140625
PYPL,2025-03-07,76.0,1.46,1.56,1.6,5.0,51,78.44000244140625
PYPL,2025-03-07,75.0,1.27,1.23,1.29,17.0,795,78.44000244140625
PYPL,2025-03-07,74.0,0.93,0.96,1.04,85.0,39,78.44000244140625
PYPL,2025-03-07,73.0,0.75,0.74,0.82,22.0,16,78.44000244140625
PYPL,2025-03-07,72.0,0.62,0.57,0.64,1.0,50,78.44000244140625
PYPL,2025-03-07,71.0,0.41,0.45,0.49,3.0,53,78.44000244140625
PYPL,2025-03-07,70.0,0.32,0.34,0.39,4.0,379,78.44000244140625
PYPL,2025-03-07,69.0,0.25,0.25,0.29,100.0,6,78.44000244140625
SNAP,2025-03-07,10.5,0.41,0.39,0.42,319.0,182,10.744999885559082
SNAP,2025-03-07,10.0,0.22,0.21,0.24,111.0,881,10.744999885559082
SNAP,2025-03-07,9.5,0.1,0.1,0.12,9.0,779,10.744999885559082
SNAP,2025-03-07,9.0,0.06,0.05,0.07,10.0,190,10.744999885559082
SNAP,2025-03-07,8.5,0.05,0.01,0.06,2.0,59,10.744999885559082
SNAP,2025-03-07,8.0,0.03,0.03,0.05,7.0,280,10.744999885559082
SNAP,2025-03-07,7.5,0.09,0.0,0.05,,3,10.744999885559082
SNAP,2025-03-07,6.5,0.21,0.0,0.75,,1,10.744999885559082
NKE,2025-03-07,70.0,1.93,1.86,1.98,80.0,396,70.25499725341797
NKE,2025-03-07,69.0,1.47,1.46,1.51,20.0,212,70.25499725341797
NKE,2025-03-07,68.0,1.2,1.1,1.16,2.0,67,70.25499725341797
NKE,2025-03-07,67.0,0.86,0.81,0.99,30.0,289,70.25499725341797
NKE,2025-03-07,66.0,0.59,0.6,0.66,10.0,141,70.25499725341797
NKE,2025-03-07,65.0,0.47,0.44,0.5,24.0,163,70.25499725341797
NKE,2025-03-07,64.0,0.47,0.32,0.37,1.0,18,70.25499725341797
NKE,2025-03-07,63.0,0.5,0.24,0.32,64.0,52,70.25499725341797
NKE,2025-03-07,62.0,0.23,0.0,0.23,12.0,58,70.25499725341797
NKE,2025-03-07,60.0,0.12,0.11,0.16,21.0,9,70.25499725341797
XOM,2025-03-07,110.0,2.6,2.39,2.42,1.0,12,110.72000122070312
XOM,2025-03-07,109.0,2.6,1.91,1.99,1.0,33,110.72000122070312
XOM,2025-03-07,108.0,1.58,1.56,1.6,4.0,22,110.72000122070312
XOM,2025-03-07,107.0,1.29,1.22,1.29,8.0,117,110.72000122070312
XOM,2025-03-07,106.0,1.01,0.96,1.0,3.0,46,110.72000122070312
XOM,2025-03-07,105.0,0.85,0.75,0.78,9.0,381,110.72000122070312
XOM,2025-03-07,104.0,0.62,0.59,0.63,3.0,225,110.72000122070312
XOM,2025-03-07,103.0,0.5,0.46,0.5,3.0,72,110.72000122070312
XOM,2025-03-07,102.0,0.55,0.35,0.39,12.0,105,110.72000122070312
XOM,2025-03-07,101.0,0.32,0.27,0.31,1.0,150,110.72000122070312
CVX,2025-03-07,155.0,4.0,3.6,3.7,1.0,220,155.1699981689453
CVX,2025-03-07,152.5,2.4,2.4,2.5,23.0,35,155.1699981689453
CVX,2025-03-07,150.0,1.71,1.56,1.64,1.0,44,155.1699981689453
CVX,2025-03-07,149.0,1.34,1.32,1.37,4.0,98,155.1699981689453
CVX,2025-03-07,148.0,1.1,1.06,1.13,7.0,65,155.1699981689453
CVX,2025-03-07,147.0,0.95,0.9,0.96,3.0,11,155.1699981689453
CVX,2025-03-07,146.0,1.22,0.75,0.81,1.0,41,155.1699981689453
CVX,2025-03-07,145.0,0.69,0.62,0.68,1.0,99,155.1699981689453
CVX,2025-03-07,144.0,0.59,0.52,0.56,2.0,49,155.1699981689453
CVX,2025-03-07,143.0,0.73,0.43,0.47,1.0,13,155.1699981689453
JNJ,2025-03-07,152.5,2.54,2.21,2.28,5.0,7,153.5500030517578
JNJ,2025-03-07,150.0,1.33,1.29,1.34,2.0,49,153.5500030517578
JNJ,2025-03-07,149.0,1.1,1.02,1.08,15.0,17,153.5500030517578
JNJ,2025-03-07,148.0,0.8,0.81,0.86,8.0,22,153.5500030517578
JNJ,2025-03-07,147.0,0.91,0.64,0.68,1.0,22,153.5500030517578
JNJ,2025-03-07,146.0,0.51,0.49,0.55,5.0,25,153.5500030517578
JNJ,2025-03-07,145.0,0.41,0.39,0.45,1.0,22,153.5500030517578
JNJ,2025-03-07,144.0,0.4,0.32,0.37,1.0,34,153.5500030517578
JNJ,2025-03-07,143.0,0.31,0.26,0.29,1.0,38,153.5500030517578
JNJ,2025-03-07,142.0,0.29,0.21,0.25,1.0,5,153.5500030517578
PFE,2025-03-07,25.0,0.22,0.2,0.22,85.0,24707,25.91990089416504
PFE,2025-03-07,24.0,0.11,0.08,0.1,620.0,476,25.91990089416504
PFE,2025-03-07,23.0,0.05,0.04,0.06,20.0,219,25.91990089416504
PFE,2025-03-07,22.0,0.03,0.0,0.06,12.0,70,25.91990089416504
PFE,2025-03-07,21.0,0.04,0.0,0.06,30.0,41,25.91990089416504
PFE,2025-03-07,20.0,0.02,0.0,0.24,,1,25.91990089416504
PFE,2025-03-07,18.0,0.01,0.0,0.05,,1,25.91990089416504
BABA,2025-03-07,109.0,5.45,5.3,5.4,3.0,12,109.20999908447266
BABA,2025-03-07,108.0,4.84,4.75,4.9,140.0,13,109.20999908447266
BABA,2025-03-07,107.0,4.3,4.3,4.45,310.0,22,109.20999908447266
BABA,2025-03-07,106.0,4.2,3.85,3.95,9.0,38,109.20999908447266
BABA,2025-03-07,105.0,3.5,3.4,3.55,82.0,369,109.20999908447266
BABA,2025-03-07,104.0,3.1,3.05,3.25,11.0,701,109.20999908447266
BABA,2025-03-07,103.0,2.74,2.71,2.8,4.0,130,109.20999908447266
BABA,2025-03-07,102.0,2.4,2.39,2.46,16.0,96,109.20999908447266
BABA,2025-03-07,101.0,2.1,1.94,2.15,3.0,68,109.20999908447266
BABA,2025-03-07,100.0,1.84,1.81,1.88,69.0,192,109.20999908447266
T,2025-03-07,24.5,0.29,0.28,0.3,34.0,156,24.764999389648438
T,2025-03-07,24.0,0.16,0.15,0.17,3.0,114,24.764999389648438
T,2025-03-07,23.5,0.12,0.08,0.14,6.0,212,24.764999389648438
T,2025-03-07,23.0,0.08,0.05,0.07,2.0,2844,24.764999389648438
T,2025-03-07,22.5,0.03,0.0,0.05,1.0,414,24.764999389648438
T,2025-03-07,22.0,0.05,0.0,0.06,3.0,4,24.764999389648438
T,2025-03-07,21.5,0.06,0.0,0.12,210.0,210,24.764999389648438
T,2025-03-07,21.0,0.03,0.02,0.75,3.0,23,24.764999389648438
T,2025-03-07,17.0,0.02,0.0,1.27,,60,24.764999389648438
VZ,2025-03-07,39.0,0.27,0.27,0.3,9.0,296,39.92499923706055
VZ,2025-03-07,38.0,0.12,0.11,0.13,5.0,93,39.92499923706055
VZ,2025-03-07,37.0,0.08,0.05,0.07,4.0,53,39.92499923706055
VZ,2025-03-07,36.0,0.05,0.0,0.07,3.0,3,39.92499923706055
GE,2025-03-07,200.0,3.32,3.35,3.55,1.0,86,204.03500366210938
GE,2025-03-07,195.0,2.14,1.97,2.13,3.0,52,204.03500366210938
GE,2025-03-07,190.0,1.12,1.12,1.25,15.0,104,204.03500366210938
GE,2025-03-07,185.0,0.6,0.64,0.71,1.0,103,204.03500366210938
GE,2025-03-07,180.0,0.34,0.37,0.42,26.0,533,204.03500366210938
GE,2025-03-07,175.0,0.39,0.0,0.58,6.0,10,204.03500366210938
GE,2025-03-07,170.0,0.11,0.11,0.5,1.0,8,204.03500366210938
GE,2025-03-07,165.0,0.29,0.01,0.46,,2,204.03500366210938
GE,2025-03-07,160.0,0.1,0.0,0.42,2.0,4,204.03500366210938
GE,2025-03-07,140.0,0.19,0.0,0.37,3.0,3,204.03500366210938
IBM,2025-03-07,245.0,3.77,3.85,4.05,4.0,119,247.3300018310547
IBM,2025-03-07,240.0,2.35,2.26,2.47,36.0,113,247.3300018310547
IBM,2025-03-07,235.0,1.42,1.38,1.46,6.0,69,247.3300018310547
IBM,2025-03-07,230.0,0.82,0.79,0.89,2.0,100,247.3300018310547
IBM,2025-03-07,225.0,0.51,0.46,0.52,20.0,66,247.3300018310547
IBM,2025-03-07,220.0,0.2,0.06,0.33,1.0,51,247.3300018310547
IBM,2025-03-07,215.0,0.17,0.0,0.4,1.0,31,247.3300018310547
IBM,2025-03-07,210.0,0.12,0.01,0.64,1.0,93,247.3300018310547
IBM,2025-03-07,205.0,0.34,0.0,0.6,15.0,34,247.3300018310547
IBM,2025-03-07,200.0,0.46,0.0,0.55,5.0,2,247.3300018310547
GS,2025-03-07,645.0,14.46,13.3,13.8,4.0,9,648.22998046875
GS,2025-03-07,640.0,9.94,11.15,11.6,11.0,19,648.22998046875
GS,2025-03-07,635.0,9.8,9.4,9.85,1.0,33,648.22998046875
GS,2025-03-07,630.0,8.45,7.8,8.25,5.0,41,648.22998046875
GS,2025-03-07,625.0,6.9,6.65,6.95,6.0,19,648.22998046875
GS,2025-03-07,620.0,4.94,5.5,5.8,9.0,35,648.22998046875
GS,2025-03-07,615.0,4.8,4.55,4.8,16.0,44,648.22998046875
GS,2025-03-07,610.0,4.2,3.8,4.05,1.0,12,648.22998046875
GS,2025-03-07,605.0,3.52,3.15,3.5,1.0,39,648.22998046875
GS,2025-03-07,600.0,2.46,2.6,2.78,4.0,66,648.22998046875
JPM,2025-03-07,265.0,3.1,3.0,3.2,73.0,1759,270.0
JPM,2025-03-07,260.0,1.98,1.94,2.03,89.0,333,270.0
JPM,2025-03-07,255.0,1.29,1.22,1.33,19.0,64,270.0
JPM,2025-03-07,250.0,0.7,0.82,0.86,8.0,124,270.0
JPM,2025-03-07,245.0,0.53,0.58,0.62,3.0,37,270.0
JPM,2025-03-07,240.0,0.38,0.43,0.47,4.0,133,270.0
JPM,2025-03-07,235.0,0.32,0.29,0.44,1.0,18,270.0
JPM,2025-03-07,230.0,0.24,0.25,0.28,1.0,20,270.0
JPM,2025-03-07,225.0,0.18,0.17,0.24,10.0,11,270.0
JPM,2025-03-07,220.0,0.15,0.12,0.2,4.0,12,270.0
MS,2025-03-07,136.0,1.29,2.95,3.05,2.0,35,136.05999755859375
MS,2025-03-07,135.0,2.59,2.54,2.66,21.0,23,136.05999755859375
MS,2025-03-07,133.0,2.02,1.83,1.92,3.0,1,136.05999755859375
MS,2025-03-07,132.0,0.87,1.53,1.62,3.0,7,136.05999755859375
MS,2025-03-07,131.0,1.39,1.29,1.37,10.0,4,136.05999755859375
MS,2025-03-07,130.0,0.6,1.07,1.16,2.0,26,136.05999755859375
MS,2025-03-07,129.0,0.93,0.91,0.98,1.0,22,136.05999755859375
MS,2025-03-07,128.0,1.48,0.75,0.85,,4,136.05999755859375
MS,2025-03-07,127.0,0.34,0.59,0.73,1.0,4,136.05999755859375
MS,2025-03-07,125.0,0.27,0.45,0.52,10.0,11,136.05999755859375
GS,2025-03-07,645.0,14.46,13.3,13.8,4.0,9,648.22998046875
GS,2025-03-07,640.0,9.94,11.15,11.6,11.0,19,648.22998046875
GS,2025-03-07,635.0,9.8,9.4,9.85,1.0,33,648.22998046875
GS,2025-03-07,630.0,8.45,7.8,8.25,5.0,41,648.22998046875
GS,2025-03-07,625.0,6.9,6.65,6.95,6.0,19,648.22998046875
GS,2025-03-07,620.0,4.94,5.5,5.8,9.0,35,648.22998046875
GS,2025-03-07,615.0,4.8,4.55,4.8,16.0,44,648.22998046875
GS,2025-03-07,610.0,4.2,3.8,4.05,1.0,12,648.22998046875
GS,2025-03-07,605.0,3.52,3.15,3.5,1.0,39,648.22998046875
GS,2025-03-07,600.0,2.46,2.6,2.78,4.0,66,648.22998046875
UNH,2025-03-07,530.0,14.24,13.5,14.05,15.0,58,530.031005859375
UNH,2025-03-07,525.0,12.15,10.1,11.7,7.0,21,530.031005859375
UNH,2025-03-07,520.0,10.74,9.35,9.75,1.0,46,530.031005859375
UNH,2025-03-07,515.0,8.15,7.55,7.9,4.0,521,530.031005859375
UNH,2025-03-07,510.0,7.83,5.75,6.5,1.0,143,530.031005859375
UNH,2025-03-07,505.0,5.91,5.0,5.4,4.0,18,530.031005859375
UNH,2025-03-07,500.0,4.25,4.05,4.35,60.0,103,530.031005859375
UNH,2025-03-07,495.0,3.97,3.2,3.55,2.0,26,530.031005859375
UNH,2025-03-07,490.0,3.2,2.11,2.85,3.0,16,530.031005859375
UNH,2025-03-07,485.0,3.0,2.11,2.53,3.0,13,530.031005859375
CVS,2025-03-07,53.0,1.96,2.09,2.15,4.0,0,53.70000076293945
CVS,2025-03-07,52.0,1.74,1.65,1.71,7.0,8,53.70000076293945
CVS,2025-03-07,51.0,1.23,1.29,1.34,6.0,79,53.70000076293945
CVS,2025-03-07,50.0,1.04,1.0,1.05,2.0,82,53.70000076293945
CVS,2025-03-07,49.0,0.83,0.76,0.81,2.0,225,53.70000076293945
CVS,2025-03-07,48.0,0.59,0.58,0.61,11.0,26,53.70000076293945
CVS,2025-03-07,47.0,0.45,0.43,0.47,6.0,75,53.70000076293945
CVS,2025-03-07,46.0,0.3,0.32,0.35,10.0,14,53.70000076293945
CVS,2025-03-07,45.0,0.26,0.0,0.26,5.0,5,53.70000076293945
CVS,2025-03-07,44.0,0.2,0.17,0.2,5.0,5,53.70000076293945
HD,2025-03-07,410.0,9.9,9.8,10.2,12.0,70,413.4849853515625
HD,2025-03-07,405.0,8.8,8.0,8.45,2.0,824,413.4849853515625
